name,commits,files
cad-ms-otp-notification,262,80
pa-ms-product,1732,793
api-cad-userprofile-profile,1,1
spring-boot-config,1,2
cd-db-configurations,219,20
qa_automation_rest_api_mbr_cards_dataprep,1,1
pa-events-dictionary,26,75
cd-docs,65,79
pix-qrc-api,1,1
do-poc-android2,1,2
cad-api-definitions,39,9
pa-ms-operation,955,265
api-cad-otp-notification,1,1
ob-ios-common-ui-pod,381,493
bcc-web-frontend,1014,247
do-tf-module-sql-databases,8,4
ob-lib-dmn,114,33
cd-posting-libs,34,39562
sd-flutter-products,3,3
pa-client-ms-garnishment,16,17
api-NOUSAR-openapi-operation,1,1
api-NOUSAR-globalplatform-openapi,1,1
ssd.terraform.apigee,28,12
ob-events-bureau-integration,5,13
